Bin	Sequences	Proportion	Patterns	Percent Full
truncated_right	9953.0	0.9945043964828137	1981	99.32181251883854%
untileable_sequences	50.0	0.004996003197442046	0	0.0%
other	5.0	0.0004996003197442046	5	0.0%
Totals	10008.0	1.0	1986


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_right	9953.0	0.9945	1981	0.9932181251883854
Subclassification	Sequence Count	Repeats	Proportion of truncated_right	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_right	27.0	0	0.0027127499246458356	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2861](+)
truncated_right	25.0	0	0.002511805485783181	forward_linear	False	False	True	I P	ITR-FLIP[6-145](-) Payload[1-2865](+)
truncated_right	23.0	0	0.0023108610469205265	forward_linear	True	False	True	I P	ITR-FLIP[2-145](-) ITR-FLIP[1-146](-) Payload[1-2865](+)
truncated_right	22.5	0	0.002260624937204863	reverse_linear	True	False	True	I P	ITR-FLIP[2-145](+) ITR-FLIP[1-145](+) Payload[1-2864](-)
truncated_right	22.5	0	0.002260624937204863	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	22.0	0	0.0022103888274891993	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2860](+)
truncated_right	18.0	0	0.0018084999497638902	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[6-145](-) Payload[1-2865](+)
truncated_right	17.0	0	0.001708027730332563	forward_linear	True	False	True	I P	ITR-FLIP[6-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	17.0	0	0.001708027730332563	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[6-2865](+)
truncated_right	16.0	0	0.001607555510901236	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[7-145](-) Payload[1-2865](+)
