Bin	Sequences	Proportion	Patterns	Percent Full
expected_selfprime	9687.5	0.9678789089819163	10193	100.0%
irregular_payload	245.0	0.02447796982715556	269	100.0%
untileable_sequences	56.0	0.005594964531921271	0	0.0%
other	20.5	0.002048156659006894	22	100.0%
Totals	10009.0	1.0	10484


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected_selfprime	9687.5	0.96788	10193	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected_selfprime	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
expected_selfprime	3.0	2	0.00030967741935483873	forward_linear	True	False	True	I P I P I P I	ITR-FLIP[1-143](-) Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[6-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[5-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[3-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[3-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	2	0.0002064516129032258	forward_linear	True	False	True	I P I P I P I	ITR-FLIP[2-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[2-145](-) ITR-FLIP[2-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected_selfprime	2.0	2	0.0002064516129032258	forward_linear	True	False	True	I P I P I P I	ITR-FLIP[2-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[4-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[1-145](-) Payload[5-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[2-2865](+) ITR-FLIP[23-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	False	False	True	I P I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	True	False	True	I P I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-163](-)
expected_selfprime	2.0	2	0.0002064516129032258	forward_linear	True	False	True	I P I P I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected_selfprime	2.0	1	0.0002064516129032258	forward_linear	False	False	True	I P I P I	ITR-FLIP[1-145](-) Payload[2-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected_selfprime	2.0	2	0.0002064516129032258	forward_linear	False	False	True	I P I P I P I	ITR-FLIP[1-145](-) Payload[2-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+) ITR-FLIP[21-165](-)
