Bin	Sequences	Proportion	Patterns	Percent Full
truncated_right	9984.5	0.99845	613	99.96995342781311%
other	13.5	0.00135	16	0.0%
untileable_sequences	2.0	0.0002	0	0.0%
Totals	10000.0	0.9999999999999999	629


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_right	9984.5	0.99845	613	0.9996995342781311
Subclassification	Sequence Count	Repeats	Proportion of truncated_right	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_right	17.0	0	0.001702639090590415	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2862](+)
truncated_right	8.0	0	0.0008012419249837248	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[4-2865](+)
truncated_right	8.0	0	0.0008012419249837248	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	7.0	0	0.0007010866843607592	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2861](+)
truncated_right	6.0	0	0.0006009314437377935	forward_linear	True	False	True	I P	ITR-FLIP[2-145](-) ITR-FLIP[1-146](-) Payload[1-2865](+)
truncated_right	6.0	0	0.0006009314437377935	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[7-145](-) Payload[1-2865](+)
truncated_right	6.0	0	0.0006009314437377935	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[6-145](-) Payload[1-2865](+)
truncated_right	6.0	0	0.0006009314437377935	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[5-2865](+)
truncated_right	6.0	0	0.0006009314437377935	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	5.5	0	0.0005508538234263108	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[4-2865](+)
truncated_right	5.5	0	0.0005508538234263108	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	5.0	0	0.000500776203114828	forward_linear	False	False	True	I P	ITR-FLIP[7-145](-) Payload[1-2865](+)
truncated_right	5.0	0	0.000500776203114828	forward_linear	False	False	True	I P	ITR-FLIP[2-145](-) Payload[2-2865](+)
truncated_right	4.5	0	0.00045069858280334516	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	4.5	0	0.00045069858280334516	forward_linear	False	False	True	I P	ITR-FLIP[1-143](-) Payload[1-2865](+)
truncated_right	4.0	0	0.0004006209624918624	forward_linear	True	False	True	I P	ITR-FLIP[6-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	4.0	0	0.0004006209624918624	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2861](+)
truncated_right	3.5	0	0.0003505433421803796	reverse_linear	False	False	True	I P	ITR-FLIP[2-145](+) Payload[4-2864](-)
truncated_right	3.5	0	0.0003505433421803796	forward_linear	False	False	True	I P	ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	3.5	0	0.0003505433421803796	forward_linear	True	False	True	I P	ITR-FLIP[1-146](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	3.5	0	0.0003505433421803796	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	3.5	0	0.0003505433421803796	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-146](-) Payload[1-2865](+)
truncated_right	3.5	0	0.0003505433421803796	forward_linear	True	False	True	I P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	3.0	0	0.0003004657218688968	forward_linear	True	False	True	I P	ITR-FLIP[7-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+)
truncated_right	3.0	0	0.0003004657218688968	forward_linear	False	False	True	I P	ITR-FLIP[6-145](-) Payload[1-2865](+)
truncated_right	3.0	0	0.0003004657218688968	forward_linear	True	False	True	I P	ITR-FLIP[5-145](-) ITR-FLIP[5-145](-) Payload[1-2865](+)
