Bin	Sequences	Proportion	Patterns	Percent Full
itr_only	10000.0	1.0	183	0.0%
Totals	10000.0	1.0	183


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
itr_only	10000.0	1.0	183	0.0
Subclassification	Sequence Count	Repeats	Proportion of itr_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
itr_only	1.5	0	0.00015	itr_only	True	False	False	I	ITR-FLIP[1-144](-) ITR-FLIP[1-145](-)
itr_only	1.5	0	0.00015	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	1.5	0	0.00015	itr_only	False	False	False	I	ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	forward_linear	True	True	False	I	ITR-FLIP[71-145](-) polyT[553-None](+) ITR-FLIP[1-73](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[7-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[6-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[5-145](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[5-143](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[4-145](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[21-62](+) ITR-FLIP[104-165](+)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[3-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-143](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[6-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-144](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-144](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-142](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-139](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-139](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-136](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[5-145](+)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-150](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-145](+) ITR-FLIP[1-144](+)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-144](+) ITR-FLIP[1-145](+)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[2-143](+) ITR-FLIP[1-145](+)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-147](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[4-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-143](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-143](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	False	False	False	I	ITR-FLIP[1-142](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	1.0	0	0.0001	itr_only	True	False	False	I	ITR-FLIP[1-142](-) ITR-FLIP[1-145](-)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[4-145](-)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[3-145](-)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[2-145](-)
itr_only	0.5	0	5e-05	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
