Bin	Sequences	Proportion	Patterns	Percent Full
truncated_left	9981.0	0.9979004199160167	561	99.98497144574692%
other	17.0	0.0016996600679864027	18	0.0%
untileable_sequences	4.0	0.0003999200159968006	0	0.0%
Totals	10002.0	0.9999999999999999	579


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_left	9981.0	0.9979	561	0.9998497144574692
Subclassification	Sequence Count	Repeats	Proportion of truncated_left	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_left	12.0	0	0.0012022843402464682	forward_linear	True	False	True	P I	Payload[1-2862](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	11.0	0	0.0011020939785592627	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[22-165](-) ITR-FLIP[21-165](-)
truncated_left	10.0	0	0.0010019036168720569	forward_linear	True	False	True	P I	Payload[1-2861](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	8.0	0	0.0008015228934976455	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-159](-)
truncated_left	6.0	0	0.0006011421701232341	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-159](-)
truncated_left	6.0	0	0.0006011421701232341	forward_linear	False	False	True	P I	Payload[5-2865](+) ITR-FLIP[21-165](-)
truncated_left	6.0	0	0.0006011421701232341	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	6.0	0	0.0006011421701232341	forward_linear	True	False	True	P I	Payload[5-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	6.0	0	0.0006011421701232341	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	True	False	True	P I	Payload[6-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	False	False	True	P I	Payload[5-2863](+) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-160](-) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-160](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	False	False	True	P I	Payload[1-2861](+) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	False	False	True	P I	Payload[1-2860](+) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	5.0	0	0.0005009518084360284	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[20-165](-) ITR-FLIP[21-165](-)
truncated_left	4.5	0	0.0004508566275924256	reverse_linear	True	False	True	P I	Payload[5-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
truncated_left	4.5	0	0.0004508566275924256	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	4.5	0	0.0004508566275924256	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	4.5	0	0.0004508566275924256	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[20-165](-)
truncated_left	4.5	0	0.0004508566275924256	forward_linear	False	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-)
truncated_left	4.5	0	0.0004508566275924256	reverse_linear	False	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	True	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[23-165](-)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-160](-)
truncated_left	4.0	0	0.00040076144674882274	reverse_linear	False	False	True	P I	Payload[4-2864](-) ITR-FLIP[22-165](+)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	True	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	4.0	0	0.00040076144674882274	forward_linear	True	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	4.0	0	0.00040076144674882274	reverse_linear	True	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
truncated_left	3.5	0	0.0003506662659052199	forward_linear	False	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-)
truncated_left	3.5	0	0.0003506662659052199	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-162](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[25-165](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[23-163](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[20-165](-) ITR-FLIP[21-164](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[23-165](-)
truncated_left	3.0	0	0.00030057108506161706	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
