Bin	Sequences	Proportion	Patterns	Percent Full
other	9999.0	0.9999	264	100.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	264


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9999.0	0.9999	264	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	5.0	0	0.0005000500050005	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	5.0	0	0.0005000500050005	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	4.5	0	0.00045004500450045	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	4.5	0	0.00045004500450045	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[5-2864](-)
other	4.0	0	0.00040004000400040005	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	4.0	0	0.00040004000400040005	forward_linear	False	False	True	P P P	Payload[1-2862](+) Payload[1-2865](+) Payload[1-2865](+)
other	4.0	0	0.00040004000400040005	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	4.0	0	0.00040004000400040005	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[5-2864](-) Payload[1-2864](-)
other	4.0	0	0.00040004000400040005	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	4.0	0	0.00040004000400040005	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[4-2864](-)
other	3.5	0	0.00035003500350035	reverse_linear	False	False	True	P P P	Payload[4-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	3.5	0	0.00035003500350035	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	3.5	0	0.00035003500350035	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	3.5	0	0.00035003500350035	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[4-2864](-) Payload[1-2864](-)
other	3.5	0	0.00035003500350035	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	3.5	0	0.00035003500350035	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	3.5	0	0.00035003500350035	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[1-2865](+)
other	3.5	0	0.00035003500350035	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	3.0	0	0.00030003000300030005	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	3.0	0	0.00030003000300030005	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	3.0	0	0.00030003000300030005	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[4-2865](+)
other	3.0	0	0.00030003000300030005	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[5-2865](+)
other	3.0	0	0.00030003000300030005	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	3.0	0	0.00030003000300030005	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	2.5	0	0.00025002500250025	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	2.5	0	0.00025002500250025	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	2.5	0	0.00025002500250025	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	2.5	0	0.00025002500250025	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	2.0	0	0.00020002000200020003	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[5-2865](+)
